product_id,forecast_demand_28d,unit_profit,allocated_units,expected_sold,expected_profit
P026,11820.991203308105,42.570076775431865,11820,11820.0,503178.30748560466
P025,10519.981105804443,40.802226487523996,10519,10519.0,429198.6204222649
P002,12960.363784790039,40.05007677543186,7504,7504.0,300535.7761228407
P015,4104.313734054565,46.25184261036468,4104,4104.0,189817.56207293665
P016,16624.78448486328,37.69619961612284,333,333.0,12552.834472168906
P019,22007.507614135742,22.5257773512476,441,441.0,9933.867811900192
P010,16808.192878723145,25.727811900191938,337,337.0,8670.272610364684
P023,17323.589714050293,19.71915547024952,347,347.0,6842.546948176584
P012,8886.059494018555,35.07176583493282,178,178.0,6242.774318618041
P008,15389.644943237305,19.90907869481766,308,308.0,6131.996238003839
P017,14806.499458312988,15.663205374280231,297,297.0,4651.971996161229
P009,14391.291748046875,15.74890595009597,288,288.0,4535.68491362764
P024,6397.087287902832,34.098618042226484,128,128.0,4364.62310940499
P013,13656.377029418945,13.96303262955854,274,274.0,3825.87094049904
P028,7569.717868804932,19.674069097888676,152,152.0,2990.458502879079
P027,16910.427642822266,5.641669865642994,339,339.0,1912.526084452975
P001,3910.31693649292,22.195873320537427,79,79.0,1753.4739923224568
P011,3712.8355255126953,20.765259117082532,75,75.0,1557.39443378119
P005,8598.689762115479,9.009923224568137,172,172.0,1549.7067946257196
P014,5133.192008972168,13.675374280230326,103,103.0,1408.5635508637235
P018,17843.570861816406,3.3790786948176583,357,357.0,1206.331094049904
P004,14562.067237854004,4.0059309021113245,292,292.0,1169.7318234165068
P029,8043.694290161133,7.0629750479846445,161,161.0,1137.1389827255277
P003,13517.877746582031,3.7730902111324376,271,271.0,1022.5074472168906
P007,12146.589599609375,2.1645297504798466,243,243.0,525.9807293666028
P030,10922.753044128418,2.0468905950095966,219,219.0,448.26904030710165
P021,8073.678894042969,2.7032245681381957,162,162.0,437.9223800383877
P006,6723.346645355225,2.6248944337811904,135,135.0,354.3607485604607
P020,6623.022651672363,2.2429750479846446,133,133.0,298.31568138195775
P022,11271.118171691895,1.2340882917466411,226,226.0,278.9039539347409
